Região,Provincia,Ecorregião Marinha,Zona,x,y
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,28.36,-36.644
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,28.284000000000002,-36.677
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,28.226999999999997,-36.696999999999996
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,28.131999999999998,-36.744
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,28.008000000000003,-36.779
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.868000000000002,-36.841
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.787,-36.873000000000005
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.69,-36.903
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.635,-36.923
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.409000000000002,-36.995
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.205,-37.054
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.121,-37.066
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,26.974,-37.145
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,26.904,-37.168
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,26.721999999999998,-37.211
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,26.441999999999997,-37.305
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,26.116999999999997,-37.347
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.899,-37.4
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.721,-37.408
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.465,-37.486999999999995
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.340999999999998,-37.5
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.156999999999996,-37.544000000000004
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.912,-37.556
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.833000000000002,-37.571999999999996
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.52,-37.542
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.223000000000003,-37.525
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.101999999999997,-37.495
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.840999999999998,-37.467
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.708000000000002,-37.428000000000004
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.394000000000002,-37.476
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.33,-37.472
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.25,-37.472
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.17,-37.464
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.103,-37.486
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.926,-37.545
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.874000000000002,-37.571999999999996
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.794,-37.588
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.61,-37.648
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.506999999999998,-37.661
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.434,-37.683
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.353,-37.696
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.275,-37.717
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.980999999999998,-37.743
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.848000000000003,-37.753
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.697,-37.768
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.633000000000003,-37.772
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.541,-37.817
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.314,-37.924
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.121,-37.986999999999995
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,20.916,-38.033
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,20.426,-38.161
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,20.002,-38.188
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,19.878,-38.181999999999995
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,19.8,-38.172
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,19.434,-38.135999999999996
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,19.274,-38.12
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,18.627,-37.953
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,18.442,-37.911
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,18.372,-37.885999999999996
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,18.149,-37.775999999999996
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,18.021,-37.732
