Código província,Província,x,y
BPLR,Polar - Boreal Polar Province (POLR),-161.0,63.5
BPLR,Polar - Boreal Polar Province (POLR),-161.5,63.5
BPLR,Polar - Boreal Polar Province (POLR),-161.5,64.5
BPLR,Polar - Boreal Polar Province (POLR),-161.0,64.5
BPLR,Polar - Boreal Polar Province (POLR),-161.0,64.0
BPLR,Polar - Boreal Polar Province (POLR),-161.0,63.5
BPLR,Polar - Boreal Polar Province (POLR),-161.0,65.0
BPLR,Polar - Boreal Polar Province (POLR),-161.0,64.5
BPLR,Polar - Boreal Polar Province (POLR),-161.5,64.5
BPLR,Polar - Boreal Polar Province (POLR),-162.5,64.5
BPLR,Polar - Boreal Polar Province (POLR),-162.0,64.5
BPLR,Polar - Boreal Polar Province (POLR),-162.0,65.0
BPLR,Polar - Boreal Polar Province (POLR),-162.0,64.5
BPLR,Polar - Boreal Polar Province (POLR),-162.0,65.0
BPLR,Polar - Boreal Polar Province (POLR),-161.5,65.0
BPLR,Polar - Boreal Polar Province (POLR),-161.0,65.0
BPLR,Polar - Boreal Polar Province (POLR),15.0,78.5
BPLR,Polar - Boreal Polar Province (POLR),15.5,78.5
BPLR,Polar - Boreal Polar Province (POLR),14.5,78.5
BPLR,Polar - Boreal Polar Province (POLR),15.0,78.5
BPLR,Polar - Boreal Polar Province (POLR),15.0,79.0
BPLR,Polar - Boreal Polar Province (POLR),15.5,79.0
BPLR,Polar - Boreal Polar Province (POLR),15.5,78.5
BPLR,Polar - Boreal Polar Province (POLR),15.0,78.5
BPLR,Polar - Boreal Polar Province (POLR),180.0,89.0
BPLR,Polar - Boreal Polar Province (POLR),180.0,71.5
BPLR,Polar - Boreal Polar Province (POLR),179.5,71.5
BPLR,Polar - Boreal Polar Province (POLR),179.0,71.5
BPLR,Polar - Boreal Polar Province (POLR),179.0,71.0
BPLR,Polar - Boreal Polar Province (POLR),178.5,71.0
BPLR,Polar - Boreal Polar Province (POLR),179.0,71.0
BPLR,Polar - Boreal Polar Province (POLR),179.5,71.0
BPLR,Polar - Boreal Polar Province (POLR),180.0,71.0
BPLR,Polar - Boreal Polar Province (POLR),180.0,69.0
BPLR,Polar - Boreal Polar Province (POLR),179.5,69.0
BPLR,Polar - Boreal Polar Province (POLR),180.0,69.0
BPLR,Polar - Boreal Polar Province (POLR),179.5,69.0
BPLR,Polar - Boreal Polar Province (POLR),179.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),179.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),178.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),179.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),178.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),178.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),177.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),177.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),176.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),176.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),176.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),175.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),175.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),174.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),174.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),173.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),173.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),173.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),173.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),172.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),172.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),171.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),171.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),170.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),170.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),170.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),170.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),171.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),171.0,69.0
BPLR,Polar - Boreal Polar Province (POLR),170.5,69.0
BPLR,Polar - Boreal Polar Province (POLR),170.0,69.0
BPLR,Polar - Boreal Polar Province (POLR),169.5,69.0
BPLR,Polar - Boreal Polar Province (POLR),169.0,69.0
BPLR,Polar - Boreal Polar Province (POLR),168.5,69.0
BPLR,Polar - Boreal Polar Province (POLR),168.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),168.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),168.0,69.5
BPLR,Polar - Boreal Polar Province (POLR),168.0,70.0
BPLR,Polar - Boreal Polar Province (POLR),167.5,70.0
BPLR,Polar - Boreal Polar Province (POLR),167.5,69.5
BPLR,Polar - Boreal Polar Province (POLR),167.0,69.5
